Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4008,QLD,Hybrid,1812," $1,750-$1,999", 45-54 years,3,1874.5,49.5
4008,QLD,Hybrid,1812, $400-$499, 85 years and over,4,449.5,85+
4008,QLD,Hybrid,1812, $800-$999, 20-24 years,3,899.5,22.0
4008,QLD,Hybrid,1812, Not stated, 25-34 years,44,0,29.5
4008,QLD,Hybrid,1812, $150-$299, 65-74 years,6,224.5,69.5
4008,QLD,Hybrid,1812, Total, 25-34 years,80,0,29.5
4008,QLD,Hybrid,1812, $400-$499, 75-84 years,3,449.5,79.5
4008,QLD,Hybrid,1812," $1,250-$1,499", 45-54 years,9,1374.5,49.5
4008,QLD,Hybrid,1812, $300-$399, 75-84 years,4,349.5,79.5
4008,QLD,Hybrid,1812, Total, 15-19 years,6,0,17.0
4008,QLD,Hybrid,1812, $400-$499, 55-64 years,3,449.5,59.5
4008,QLD,Hybrid,1812, $650-$799, 65-74 years,3,724.5,69.5
4008,QLD,Hybrid,1812, Not stated, 55-64 years,7,0,59.5
4008,QLD,Hybrid,1812," $1,250-$1,499", 55-64 years,7,1374.5,59.5
4008,QLD,Hybrid,1812, $400-$499, 65-74 years,4,449.5,69.5
4008,QLD,Hybrid,1812, Total, 35-44 years,70,0,39.5
4008,QLD,Hybrid,1812, Total, 55-64 years,55,0,59.5
4008,QLD,Hybrid,1812, Total, 45-54 years,45,0,49.5
4008,QLD,Hybrid,1812," $1,000-$1,249", 35-44 years,4,1124.5,39.5
4008,QLD,Hybrid,1812, $400-$499, 35-44 years,3,449.5,39.5
4008,QLD,Hybrid,1812, $800-$999, 25-34 years,9,899.5,29.5
4008,QLD,Hybrid,1812, Total, 65-74 years,42,0,69.5
4008,QLD,Hybrid,1812, Total, 85 years and over,4,0,85+
4008,QLD,Hybrid,1812," $3,500 or more", 35-44 years,6,3500+,39.5
4008,QLD,Hybrid,1812," $2,000-$2,999", 65-74 years,4,2499.5,69.5
4008,QLD,Hybrid,1812," $1,750-$1,999", 25-34 years,3,1874.5,29.5
4008,QLD,Hybrid,1812, Total, 20-24 years,24,0,22.0
4008,QLD,Hybrid,1812," $1,250-$1,499", 35-44 years,6,1374.5,39.5
4008,QLD,Hybrid,1812," $2,000-$2,999", 45-54 years,7,2499.5,49.5
4008,QLD,Hybrid,1812, $800-$999, 45-54 years,4,899.5,49.5
4008,QLD,Hybrid,1812," $1,000-$1,249", 55-64 years,3,1124.5,59.5
4008,QLD,Hybrid,1812, Not stated, 20-24 years,14,0,22.0
4008,QLD,Hybrid,1812," $1,000-$1,249", 45-54 years,4,1124.5,49.5
4008,QLD,Hybrid,1812, Not stated, 65-74 years,5,0,69.5
4008,QLD,Hybrid,1812, Negative/Nil income, 65-74 years,3,0,69.5
4008,QLD,Hybrid,1812, $800-$999, 55-64 years,10,899.5,59.5
4008,QLD,Hybrid,1812, $650-$799, 20-24 years,3,724.5,22.0
4008,QLD,Hybrid,1812, $300-$399, 55-64 years,6,349.5,59.5
4008,QLD,Hybrid,1812," $2,000-$2,999", 55-64 years,3,2499.5,59.5
4008,QLD,Hybrid,1812, $800-$999, 35-44 years,3,899.5,39.5
4008,QLD,Hybrid,1812," $1,000-$1,249", 25-34 years,11,1124.5,29.5
4008,QLD,Hybrid,1812, $500-$649, 25-34 years,5,574.5,29.5
4008,QLD,Hybrid,1812, $500-$649, 35-44 years,4,574.5,39.5
4008,QLD,Hybrid,1812," $1,500-$1,749", 45-54 years,7,1624.5,49.5
4008,QLD,Hybrid,1812, $300-$399, 20-24 years,3,349.5,22.0
4008,QLD,Hybrid,1812, Not stated, 45-54 years,12,0,49.5
4008,QLD,Hybrid,1812, Negative/Nil income, 15-19 years,3,0,17.0
4008,QLD,Hybrid,1812," $1,500-$1,749", 25-34 years,4,1624.5,29.5
4008,QLD,Hybrid,1812, Not stated, 35-44 years,38,0,39.5
4008,QLD,Hybrid,1812, $800-$999, 65-74 years,4,899.5,69.5
4008,QLD,Hybrid,1812, Negative/Nil income, 35-44 years,4,0,39.5
4008,QLD,Hybrid,1812," $1,500-$1,749", 55-64 years,6,1624.5,59.5
4008,QLD,Hybrid,1812, $650-$799, 25-34 years,4,724.5,29.5
4008,QLD,Hybrid,1812, $500-$649, 75-84 years,3,574.5,79.5
4008,QLD,Hybrid,1812," $1,000-$1,249", 65-74 years,3,1124.5,69.5
4008,QLD,Hybrid,1812, $500-$649, 55-64 years,6,574.5,59.5
3029,VIC,Hybrid,1803," $1,750-$1,999", 65-74 years,44,1874.5,69.5
3029,VIC,Hybrid,1803," $3,000-$3499", 20-24 years,9,3249.5,22.0
3029,VIC,Hybrid,1803, $150-$299, 20-24 years,661,224.5,22.0
3029,VIC,Hybrid,1803, Total, 25-34 years,24770,0,29.5
3029,VIC,Hybrid,1803, Not stated, 35-44 years,1886,0,39.5
3029,VIC,Hybrid,1803," $1,000-$1,249", 75-84 years,49,1124.5,79.5
3029,VIC,Hybrid,1803, Negative/Nil income, 65-74 years,1142,0,69.5
3029,VIC,Hybrid,1803," $1,500-$1,749", 25-34 years,1697,1624.5,29.5
3029,VIC,Hybrid,1803," $3,000-$3499", 15-19 years,3,3249.5,17.0
3029,VIC,Hybrid,1803, $300-$399, 65-74 years,1042,349.5,69.5
3029,VIC,Hybrid,1803, $800-$999, 35-44 years,2747,899.5,39.5
3029,VIC,Hybrid,1803," $1,000-$1,249", 65-74 years,270,1124.5,69.5
