Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4350,QLD,Internal Combustion Engine,87602, $1-$149, 65-74 years,313,75.0,69.5
4350,QLD,Internal Combustion Engine,87602, $1-$149, 85 years and over,81,75.0,85+
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 45-54 years,544,0,49.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 85 years and over,210,724.5,85+
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 20-24 years,128,1874.5,22.0
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 55-64 years,803,1624.5,59.5
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 15-19 years,7,2499.5,17.0
4350,QLD,Internal Combustion Engine,87602, Total, 55-64 years,12714,0,59.5
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 20-24 years,525,1374.5,22.0
4350,QLD,Internal Combustion Engine,87602, $800-$999, 65-74 years,789,899.5,69.5
4350,QLD,Internal Combustion Engine,87602, $150-$299, 55-64 years,477,224.5,59.5
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 25-34 years,131,3500+,29.5
4350,QLD,Internal Combustion Engine,87602, $150-$299, 45-54 years,404,224.5,49.5
4350,QLD,Internal Combustion Engine,87602, $400-$499, 75-84 years,1820,449.5,79.5
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 15-19 years,27,1374.5,17.0
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 75-84 years,48,2499.5,79.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 25-34 years,1408,724.5,29.5
4350,QLD,Internal Combustion Engine,87602, Total, 65-74 years,11584,0,69.5
4350,QLD,Internal Combustion Engine,87602," $3,500 or more", 85 years and over,28,3500+,85+
4350,QLD,Internal Combustion Engine,87602," $1,000-$1,249", 25-34 years,2318,1124.5,29.5
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 85 years and over,26,2499.5,85+
4350,QLD,Internal Combustion Engine,87602, $800-$999, 75-84 years,380,899.5,79.5
4350,QLD,Internal Combustion Engine,87602, $800-$999, 15-19 years,223,899.5,17.0
4350,QLD,Internal Combustion Engine,87602, $400-$499, 55-64 years,955,449.5,59.5
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 75-84 years,110,1374.5,79.5
4350,QLD,Internal Combustion Engine,87602," $2,000-$2,999", 20-24 years,79,2499.5,22.0
