Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
2025,NSW,Hydrogen Cell Vehicle,0,0,0
2025,NSW,Hybrid,89,100,112
2026,NSW,Internal Combustion Engine,15952,15784,15604
2026,NSW,Battery Electric Vehicle,57,116,207
2026,NSW,Hydrogen Cell Vehicle,0,0,0
2026,NSW,Hybrid,262,296,361
2027,NSW,Internal Combustion Engine,4786,4677,4524
2027,NSW,Battery Electric Vehicle,33,59,92
2027,NSW,Hydrogen Cell Vehicle,0,0,0
2027,NSW,Hybrid,139,150,170
2028,NSW,Internal Combustion Engine,2961,2937,2896
2028,NSW,Battery Electric Vehicle,17,30,51
2028,NSW,Hydrogen Cell Vehicle,0,0,0
2028,NSW,Hybrid,70,84,101
2029,NSW,Internal Combustion Engine,5657,5658,5627
2029,NSW,Battery Electric Vehicle,37,55,83
2029,NSW,Hydrogen Cell Vehicle,0,0,0
2029,NSW,Hybrid,146,171,194
2030,NSW,Internal Combustion Engine,9278,8965,8893
2030,NSW,Battery Electric Vehicle,112,179,253
2030,NSW,Hydrogen Cell Vehicle,0,0,0
2030,NSW,Hybrid,217,263,311
2031,NSW,Internal Combustion Engine,16539,16576,16430
2031,NSW,Battery Electric Vehicle,42,85,151
2031,NSW,Hydrogen Cell Vehicle,0,0,0
2031,NSW,Hybrid,297,384,460
2032,NSW,Internal Combustion Engine,6103,6476,6551
2032,NSW,Battery Electric Vehicle,7,19,34
2032,NSW,Hydrogen Cell Vehicle,0,0,0
2032,NSW,Hybrid,127,148,186
2033,NSW,Internal Combustion Engine,4953,5054,5061
2033,NSW,Battery Electric Vehicle,14,22,36
2033,NSW,Hydrogen Cell Vehicle,0,0,0
2033,NSW,Hybrid,117,145,168
2034,NSW,Internal Combustion Engine,10703,10615,10420
2034,NSW,Battery Electric Vehicle,38,67,106
2034,NSW,Hydrogen Cell Vehicle,0,0,0
2034,NSW,Hybrid,179,207,251
2035,NSW,Internal Combustion Engine,18831,18714,18693
2035,NSW,Battery Electric Vehicle,36,59,122
2035,NSW,Hydrogen Cell Vehicle,0,0,0
2035,NSW,Hybrid,353,456,560
2036,NSW,Internal Combustion Engine,18877,19330,19594
2036,NSW,Battery Electric Vehicle,27,45,112
